A01,,A02,,A03,,A04,,A05,,A06,,A07,,A08,,A09,,A10,
34.19241408,4139.134202,34.70948725,4082.241771,33.26840117,3645.038384,33.35018956,3704.200738,33.09378036,3543.766096,31.864574,3953.030651,33.53834348,3578.263653,33.64783912,3545.568251,33.40438719,3580.136414,34.00928459,3632.874139
34.55528033,4286.895222,34.39221249,4377.189604,33.49785099,3838.647325,33.20887594,3915.69694,33.71505722,3686.710217,33.66719926,4169.65281,33.580955,3623.074887,34.12140521,3658.735644,33.50694108,3630.795336,33.42238372,3499.143111
33.70897027,4392.386667,33.93977124,4371.144668,33.16002123,3787.524538,33.5550272,3822.343689,33.60397818,3785.215932,33.20311799,4271.585569,33.81677045,3962.547436,34.21566239,3781.983275,33.40730064,3806.777647,33.81023897,3968.173494
33.82904352,4736.27969,34.0727918,4673.864739,33.65571569,3866.239827,33.60163311,3783.594824,33.85265451,3897.82873,34.11621114,4463.752167,34.12070305,3849.659713,34.1585191,3883.136072,34.46500036,3781.932915,34.26813257,3847.801996
34.83689879,4789.381314,35.21923645,4860.932342,34.40927484,3975.906037,34.9103817,4095.903471,34.25108348,4082.950548,33.64619408,4239.909077,34.17213504,4196.860717,34.78960052,3809.795681,34.69845209,4108.566512,34.2936637,4150.407808
35.08798126,4933.848277,35.87028019,4956.828355,34.96440059,4081.329006,35.22646201,4145.397945,34.87891666,4222.136297,34.70838709,4302.965801,34.86717311,4237.151633,34.75220323,4017.625482,34.89499627,4321.604332,35.27957323,4233.421102
35.48222677,5059.469011,35.50156056,5135.226663,34.24963289,4373.982056,34.04328053,4285.734794,34.98740309,4280.803091,34.76457879,4382.600176,34.97334206,4400.594782,35.30655361,4072.101802,35.7040314,4342.024472,35.8250676,4356.67991
35.73356536,5206.210364,35.21868808,5295.907661,35.74205476,4482.486568,35.65413128,4483.654069,35.00930303,4495.653305,34.91170071,4604.189849,35.54804738,4676.945906,36.10488572,4272.740703,35.62726114,4601.110454,36.02547525,4617.358418
36.13505108,5509.651197,35.74375565,5392.896026,35.08165229,4878.406895,35.12985368,4855.004525,35.69228744,4491.638382,35.7730689,4718.805686,35.82164686,4636.865064,36.21907452,4302.294241,35.97009832,4576.915536,35.46781782,4586.376664
37.15449133,5788.81994,37.17532229,5785.044771,35.75464065,5158.956587,36.03489826,5164.790772,36.15833806,4677.640921,36.14180639,4714.540304,36.29733196,4935.665827,36.20818378,4299.372939,36.2202672,4917.726739,36.47553971,4887.217192
37.37760946,5967.024107,37.45367526,5901.813061,35.93501367,5539.021236,35.88496897,5509.092541,36.52422367,4959.166694,36.20660465,4650.889792,36.23255393,5058.552647,36.89643342,4522.30977,36.77151994,4972.472261,36.40217173,5003.596575
37.46394633,5996.999558,37.39876529,5916.483353,36.32481196,5943.540996,36.40353596,5860.381118,36.67005281,5167.145512,36.78348445,4836.779771,37.01774531,5161.115219,37.53465643,4634.611172,37.08790431,5103.3004,37.01886652,5127.520716
37.50915255,6504.473172,37.0576495,6558.820778,36.98966749,6122.365375,37.29434228,6159.300239,36.85200182,5346.558995,35.64940305,5162.689802,37.21051838,5253.808919,36.83249404,5009.847578,37.35296334,5190.052716,37.17979546,5145.753091
37.9343022,6794.060794,37.61361501,6788.264559,37.34264957,6501.101749,37.30522892,6500.208531,36.72103274,5680.237733,37.33219415,5105.424137,38.53617499,5344.448537,37.06633059,5205.127236,37.31092455,5282.384288,37.95921204,5301.698084
38.13384026,7223.579746,38.09822212,7263.857093,37.21774755,6938.546954,37.10165482,7021.107985,37.75191428,5951.513824,37.36625726,5255.679782,37.91273084,5329.798598,38.48945015,5333.146272,37.72189615,5351.212479,38.08161458,5354.443589
38.88139622,7428.209375,38.80781643,7407.995089,38.10035749,7306.816458,37.84331558,7269.446992,37.81985644,6297.665232,38.17562205,5254.493754,38.10023596,5681.630711,37.80290649,5439.734086,37.90497175,5739.248657,38.223252,5718.678571
38.10997558,7684.912477,38.05532104,7562.708986,38.51023511,7548.35056,38.62256877,7582.222423,37.97482129,6592.469861,37.41179297,5457.781871,38.62868367,5681.198032,38.09885052,5746.330937,38.82728833,5734.496796,38.50181125,5663.769851
39.82905505,8006.267647,40.15605276,7920.973513,38.95231722,8117.881363,39.17351674,8141.582971,38.42153627,6876.979428,37.93446483,5779.348081,39.52669052,6318.652368,38.86349809,5957.703565,39.60216478,6167.561805,39.6844453,6233.627271
39.543702,8349.887995,39.96143976,8386.982987,39.6267777,8478.232344,39.74462379,8523.82021,38.73507336,7202.282929,38.86720438,5961.824788,39.42966111,6221.43371,39.56774029,6110.945446,39.87483812,6177.727544,39.62595833,6253.870785
39.86648711,8438.469577,39.27918481,8377.291829,39.03330033,8820.476632,39.09349474,8832.798707,39.38572084,7392.531233,38.84710486,6375.01167,39.78538286,6524.384659,39.05522965,6369.343332,39.67887921,6533.570686,39.95757839,6467.225571
